p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene	specificity
2.90650490090372e-29	0.854834350516954	0.876	0.337	9.38365107256765e-25	82	Osbpl6	2.18266061832283
1.83006233920931e-29	0.851909580987274	0.894	0.344	5.90835626213726e-25	82	Stxbp5l	2.17549791302965
2.25404325111257e-30	0.410181018888334	0.265	0.042	7.27717863621693e-26	82	Gm9934	2.16922654219792
3.11707069419873e-34	0.81840942956052	0.92	0.341	1.00634627362206e-29	82	Gucy1a2	2.16843524071591
5.21254747201905e-25	0.904383146339144	0.867	0.356	1.68287095134135e-20	82	Cdr1os	2.16706016212959
7.32852608847206e-29	0.860991907564182	0.912	0.357	2.36601464766321e-24	82	Grip1	2.16303689039285
3.75702916036015e-24	0.944093492283609	0.761	0.328	1.21295686442228e-19	82	Fgf1	2.15353870577119
1.93982918591568e-28	0.861855341781912	0.912	0.359	6.26273852672877e-24	82	Grid1	2.15347052878841
2.19188277388662e-22	0.612049495997056	0.398	0.106	7.07649353549295e-18	82	Gm33228	2.15272581350689
3.7063667476964e-25	0.91504136873606	0.796	0.333	1.19660050449378e-20	82	Scn1a	2.15021382857511
2.64491892060128e-28	0.646589998070799	0.575	0.166	8.53912073516124e-24	82	A830018L16Rik	2.14917698222396
2.90596363810503e-32	0.612766172089351	0.549	0.15	9.38190360562208e-28	82	Slc6a15	2.14085181373717
